"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDEX_TYPE","COICOP_1999","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.STA:CPI(5.0.0)","USA.CPI._T.IX.A","OBS_VALUE","United States","Consumer price index (CPI)","All Items","Index","Annual","Units","108.5669321189636","108.6957219606935","110.0670089342698","112.4115573023076","115.1573032247906","117.2441954762282","118.6905015771978","124.2664138258379","134.2112061684602","139.7357935632595","143.8573360146079",""
"IMF.STA:CPI(5.0.0)","USA.CPI.CP12.POP_PCH_PA_PT.A","OBS_VALUE","United States","Consumer price index (CPI)","Miscellaneous goods and services","Period average, Period-over-period percent change","Annual","Units","2.126008089948179","2.573263911476409","3.885647860854656","3.551218140075063","3.631369130862455","3.04519619004818","2.122341046299493","1.206018871759225","6.910729897542861","6.091952278315842","8.326775925011835",""
"IMF.STA:CPI(5.0.0)","USA.CPI._T.YOY_PCH_PA_PT.A","OBS_VALUE","United States","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Annual","Units","1.622222977408174","0.1186271355524506","1.261583205705358","2.130110003659612","2.442583296928166","1.812210075260205","1.233584396306293","4.697858863637421","8.00279982052121","4.116338383744878","2.949525204852073",""
"IMF.STA:CPI(5.0.0)","USA.CPI.CP11.YOY_PCH_PA_PT.A","OBS_VALUE","United States","Consumer price index (CPI)","Restaurants and hotels","Period average, Year-over-year (YOY) percent change","Annual","Units","2.685881648139534","2.822091854924988","2.630210221380225","2.104084697817114","2.413655143992077","2.960447812157398","1.504988456905377","5.043776906057326","8.21585472875348","5.433435546987245","3.92242041368117",""
"IMF.STA:CPI(5.0.0)","USA.CPI.CP11.IX.A","OBS_VALUE","United States","Consumer price index (CPI)","Restaurants and hotels","Index","Annual","Units","108.1290413023289","111.1805421697304","114.1048241540646","116.5056862985614","119.3177317889499","122.8500709692117","124.6989503565984","130.9884872167804","141.7503110379029","149.4522228258013","155.3143673226208",""
"IMF.STA:CPI(5.0.0)","USA.CPI.CP09.POP_PCH_PA_PT.A","OBS_VALUE","United States","Consumer price index (CPI)","Recreation and culture","Period average, Period-over-period percent change","Annual","Units","-0.1050362648905071","0.02375352150114021","0.3683412520612804","0.8242371897011442","0.03175470597359376","0.7961584901698851","1.110668044693644","2.602582944453558","4.633376059190758","3.602402051189766","0.7846380845076272",""
"IMF.STA:CPI(5.0.0)","USA.CPI.CP11.POP_PCH_PA_PT.A","OBS_VALUE","United States","Consumer price index (CPI)","Restaurants and hotels","Period average, Period-over-period percent change","Annual","Units","2.685881648139534","2.822091854924988","2.630210221380225","2.104084697817114","2.413655143992077","2.960447812157398","1.504988456905377","5.043776906057326","8.21585472875348","5.433435546987245","3.92242041368117",""
"IMF.STA:CPI(5.0.0)","USA.CPI.CP09.IX.A","OBS_VALUE","United States","Consumer price index (CPI)","Recreation and culture","Index","Annual","Units","100.3885366675226","100.4123824801646","100.7822427070166","101.6129274320227","101.6451943183599","102.4544511627752","103.5923800122064","106.2884576261576","111.2132015754911","115.2195482302404","116.1236046864525",""
"IMF.STA:CPI(5.0.0)","USA.CPI.CP07.POP_PCH_PA_PT.A","OBS_VALUE","United States","Consumer price index (CPI)","Transport","Period average, Period-over-period percent change","Annual","Units","-1.519196583244568","-10.02131424996943","-3.634064835809258","2.624893113980762","4.011727853930278","-0.4611982450843656","-4.250852302890709","15.80440276421432","16.60956203510278","-2.388965216473192","-3.123623672097625",""
"IMF.STA:CPI(5.0.0)","USA.CPI.CP07.YOY_PCH_PA_PT.A","OBS_VALUE","United States","Consumer price index (CPI)","Transport","Period average, Year-over-year (YOY) percent change","Annual","Units","-1.519196583244568","-10.02131424996943","-3.634064835809258","2.624893113980762","4.011727853930278","-0.4611982450843656","-4.250852302890709","15.80440276421432","16.60956203510278","-2.388965216473192","-3.123623672097625",""
